"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"昭通web_socket心跳测试","","","0","0","1","0","0"
"指挥中心应急事件上报","","","0","0","6","0","0"
"驾驶舱告警分类","","","0","0","8","0","0"
"税收监管--产矿销售种类占比","","","0","0","3","0","0"
"告警中心--告警管理--告警类型","","","0","0","24","0","0"
"指挥中心顶部数据加工量详情","","","0","0","6","0","0"
"指挥中心顶部数据销售量详情","","","0","0","6","0","0"
"税收监管--右侧电子联单","","","0","0","4","0","0"
"矿山数据统计--生产数据--详情","","","0","0","3","0","0"
"销售数据管理--联单审核区县、矿区树","","","0","0","1","0","0"
"指挥中心左部告警信息","","","0","0","7","0","0"
"税收监管--顶部看板","","","0","0","6","0","0"
"销售数据管理--某个实际的矿区审核数据","","","0","0","1","0","0"
"组织管理--部门与成员--组织","","","0","0","1","0","0"
"组织管理--角色管理--权限树","","","0","0","1","0","0"
"组织管理--部门与成员--具体职位下的所有用户","","","0","0","1","0","0"
"驾驶舱矿区实景--加工量","","","0","0","2","0","0"
"组织管理--部门与成员--职位详情","","","0","0","1","0","0"
"矿山数据统计--加工销售数据--销售量导出","","","0","0","2","0","0"
"销售数据管理--加工量--点击审核旗帜","","","0","0","1","0","0"
"大屏配置--web端","","","2","0","0","0","0"
"税收监管--近7日告警提醒","","","0","0","3","0","0"
"税收监管--矿产加工销售占比","","","0","0","3","0","0"
"销售数据管理--非煤矿价格及税收管理","","","0","0","2","0","0"
"企业管理--矿企管理--列表","","","0","0","2","0","0"
"销售数据管理--非煤矿价格及税收管理--修改详情","","","0","0","1","0","0"
"税收监管--各矿区设备在离线情况","","","0","0","3","0","0"
"驾驶舱矿区实景--监控","","","0","0","5","0","0"
"矿山数据统计--生产数据--列表及关键字搜索","","","0","0","2","0","0"
"销售数据管理--加工量--审核的旗帜数据","","","0","0","2","0","0"
"矿山数据统计--加工销售数据统计","","","0","0","2","0","0"
"指挥中心顶部视频/数据接入/今日作业--详情","","","0","0","2","0","0"
"税收监管--行政单位树","","","0","0","3","0","0"
"矿山数据统计--加工销售数据--加工量导出","","","0","0","2","0","0"
"税收监管--矿区选择","","","0","0","3","0","0"
"驾驶舱矿区实景--播放视频","","","0","0","1","0","0"
"视频监控--视频监控树","","","0","0","3","0","0"
"组织管理--角色管理--角色名称详情","","","0","0","1","0","0"
"矿山数据统计--加工销售数据--销售量列表","","","0","0","2","0","0"
"矿山数据统计--销售数据核准--详情","","","0","0","1","0","0"
"指挥中心左部告警信息--详情","","","0","0","1","0","0"
"指挥中心--预警提醒信息","","","0","0","1","0","0"
"组织管理--部门与成员--编辑成员--该成员信息","","","0","0","1","0","0"
"指挥中心顶部看板","","","0","0","3","0","0"
"驾驶舱矿区--基础信息","","","0","0","1","0","0"
"销售数据管理--联单审核树","","","0","0","1","0","0"
"指挥中心左部日常巡检","","","0","0","3","0","0"
"组织管理--部门与成员--编辑成员--部门职位选项","","","0","0","1","0","0"
"指挥中心中部地图数据","","","0","0","3","0","0"
"组织管理--角色管理--具体角色权限树","","","0","0","1","0","0"
"企业管理--矿企管理--编辑时的关联企业选择","","","0","0","1","0","0"
"销售数据管理--加工量--所有分类","","","0","0","1","0","0"
"组织管理--部门与成员--组织--详情","","","0","0","1","0","0"
"企业管理--矿企管理--企业详情","","","0","0","1","0","0"
"税收监管--识别能力","","","0","0","2","0","0"
"组织管理--部门与成员--所有角色","","","0","0","1","0","0"
"销售数据管理--加工量--皮带秤流速和流量","","","0","0","1","0","0"
"销售数据管理--联单审核--加工量--某个实际的矿区的皮带设备","","","0","0","1","0","0"
"组织管理--部门与成员--所有部门","","","0","0","1","0","0"
"组织管理--角色管理--系统管理员","","","0","0","1","0","0"
"矿山数据统计--销售数据核准--列表及搜索","","","0","0","1","0","0"
"矿山数据统计--销售数据核准--详情--产品名称","","","0","0","1","0","0"
